suburb,postcode
STRATHMERTON,[3641]
DINGLEY VILLAGE,[3172]
MANNIBADAR,[3360]
WATTLE GLEN,[3096]
CAMPBELLS FOREST,[3556]
NILMA NORTH,[3821]
MORGIANA,[3301]
BROOMFIELD,[3364]
GLENLOFTY,[3469]
CLARENDON,[3352]
APPIN SOUTH,[3579]
LILLIPUT,[3682]
MOUNT EVELYN,[3796]
BULLA,[3428]
CANIAMBO,[3630]
MARYSVILLE,[3779]
STOCKDALE,[3862]
WATTLE PARK,[3128]
DANDENONG,[3175]
WERE STREET PO,[3186]
BALLARAT EAST,[3350]
YAWONG HILLS,[3478]
GORDON,[3345]
GRAYTOWN,[3608]
PHEASANT CREEK,[3757]
RUSSELLS BRIDGE,[3331]
LYSTERFIELD,[3156]
MUCKLEFORD SOUTH,[3462]
DARTMOUTH,[3701]
COCOROC,[3030]
CAPE CLEAR,[3351]
SELBY,[3159]
WILSONS PROMONTORY,[3960]
WANNON,[3301]
WILKUR,[3393]
GRANTVILLE,[3984]
WAANYARRA,[3551]
FOREST HILL,[3131]
BALLANGEICH,[3279]
PENTLAND HILLS,[3341]
SEAVIEW,[3821]
MELWOOD,[3875]
BEREMBOKE,[3342]
OXLEY,[3678]
BINGO MUNJIE,[3898]
NOORAT EAST,[3265]
UPPER RYANS CREEK,[3673]
SWAN HILL,[3585]
MELBOURNE AIRPORT,[3045]
INDENTED HEAD,[3223]
LUCAS,[3350]
GRETA,[3675]
COBURG NORTH,[3058]
DUNKIRK,[3630]
BUNYIP,[3815]
HUON CREEK,[3691]
MURGHEBOLUC,[3218]
LAVERTON,[3028]
ENDEAVOUR HILLS,[3802]
AIRPORT WEST,[3042]
BOUNDARY BEND,[3599]
DEREEL,[3352]
ANNUELLO,[3549]
BOOMAHNOOMOONAH,[3728]
MYRTLEBANK,[3851]
HEYFIELD,[3858]
ACHERON,[3714]
FORGE CREEK,[3875]
FLORA HILL,[3550]
CAULFIELD EAST,[3145]
BOONAH,[3235]
BYADUK,[3301]
COALVILLE,[3825]
INVERLOCH,[3996]
ROBINVALE IRRIGATION DISTRICT SECTION D,[3549]
TOOLOME,[3860]
BEAUFORT,[3373]
WHOROULY SOUTH,[3735]
MYRRHEE,[3732]
GAFFNEYS CREEK,[3723]
KORWEINGUBOORA,[3461]
BYRNESIDE,[3617]
KORUMBURRA SOUTH,[3950]
WEE WEE RUP,[3568]
TUNGAMAH,[3728]
KEYSBOROUGH,[3173]
SMOKO,[3741]
CHARAM,[3318]
ROCHFORD,[3442]
ZEERUST,[3634]
PATYAH,[3318]
HADFIELD,[3046]
MOORABBIN,[3189]
TARRAYOUKYAN,[3315]
FALLS CREEK,[3699]
KIRKSTALL,[3283]
ROXBURGH PARK,[3064]
